Çà ·¹ÀÌºí,°³¼ö : Author,media
ARIRANG K-POP,325,1
MBCkpop,276,1
CJENMMUSIC Official,211,1
ALLIPevent,123,1
KBS CoolFM,104,1
KBS KONG,69,1
KBS World TV,68,1
ARIRANG TV,47,1
MBCentertainment,39,1
ARIRANG RADIO,37,1
SBSNOW,33,1
SBS Radio100,31,1
MTV ä²äñéÏßÀ Idols of Asia,26,1
JTBC Entertainment,26,1
Mnet Official,21,1
KOCOWA TV,19,1
BANGTANTV,19,1
Æ¼Ä³½ºÆ® tcast,18,1
StarSeoulTV,17,1
EBSCulture (EBS ±³¾ç),17,1
MBCentertain,16,1
tvN,15,1
KBS ÇÑ±¹¹æ¼Û (MyloveKBS),14,1
KMREACTS,12,1
